Test_Year,Seed_A,Seed_B,Jaccard
2021,0,7,0.95
2021,0,21,0.975
2021,0,42,1.0
2021,0,99,0.95
2021,7,21,0.9743589743589743
2021,7,42,0.95
2021,7,99,0.9487179487179487
2021,21,42,0.975
2021,21,99,0.9743589743589743
2021,42,99,0.95
2022,0,7,0.9574468085106383
2022,0,21,0.8297872340425532
2022,0,42,0.9148936170212766
2022,0,99,0.851063829787234
2022,7,21,0.8666666666666667
2022,7,42,0.9555555555555556
2022,7,99,0.8888888888888888
2022,21,42,0.9069767441860465
2022,21,99,0.926829268292683
2022,42,99,0.9302325581395349
2023,0,7,0.9230769230769231
2023,0,21,1.0
2023,0,42,1.0
2023,0,99,0.9230769230769231
2023,7,21,0.9230769230769231
2023,7,42,0.9230769230769231
2023,7,99,1.0
2023,21,42,1.0
2023,21,99,0.9230769230769231
2023,42,99,0.9230769230769231
2024,0,7,1.0
2024,0,21,1.0
2024,0,42,1.0
2024,0,99,1.0
2024,7,21,1.0
2024,7,42,1.0
2024,7,99,1.0
2024,21,42,1.0
2024,21,99,1.0
2024,42,99,1.0
2025,0,7,1.0
2025,0,21,1.0
2025,0,42,1.0
2025,0,99,1.0
2025,7,21,1.0
2025,7,42,1.0
2025,7,99,1.0
2025,21,42,1.0
2025,21,99,1.0
2025,42,99,1.0
2026,0,7,1.0
2026,0,21,1.0
2026,0,42,1.0
2026,0,99,1.0
2026,7,21,1.0
2026,7,42,1.0
2026,7,99,1.0
2026,21,42,1.0
2026,21,99,1.0
2026,42,99,1.0
